#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         534    0.987327     1.18331   0.0108025
         535    0.985553     1.18294   0.0107886
         536    0.983847     1.18257   0.0107749
         537    0.982209      1.1822   0.0107612
         538     0.98064     1.18182   0.0107478
         539    0.979145     1.18145   0.0107344
         540    0.977731     1.18107   0.0107211
         541    0.976404     1.18069    0.010708
         542    0.975174     1.18031    0.010695
         543    0.974051     1.17993    0.010682
         544    0.973044     1.17955   0.0106691
         545    0.972165     1.17917   0.0106563
         546    0.971423     1.17879   0.0106436
         547    0.970831     1.17841   0.0106309
         548      0.9704     1.17803   0.0106183
         549    0.970138     1.17765   0.0106057
         550    0.970056     1.17728   0.0105932
         551    0.970159      1.1769   0.0105806
         552    0.970454     1.17653    0.010568
         553    0.970944     1.17615   0.0105555
         554    0.971632     1.17578   0.0105429
         555    0.972516     1.17542   0.0105302
         556    0.973595     1.17506   0.0105175
         557     0.97487      1.1747   0.0105048
         558    0.976335     1.17434    0.010492
         559    0.977987     1.17399   0.0104791
         560     0.97982     1.17364   0.0104661
         561    0.981824      1.1733   0.0104531
         562    0.983991     1.17296   0.0104399
         563    0.986314     1.17263   0.0104266
         564    0.988783     1.17231   0.0104132
         565    0.991388     1.17199   0.0103997
         566    0.994118     1.17167   0.0103861
         567    0.996963     1.17136   0.0103723
         568    0.999911     1.17106   0.0103585
         569     1.00295     1.17077   0.0103445
         570     1.00608     1.17048   0.0103303
         571     1.00928      1.1702   0.0103161
         572     1.01255     1.16992   0.0103018
         573     1.01587     1.16965   0.0102873
         574     1.01924     1.16939   0.0102727
         575     1.02266     1.16913    0.010258
         576      1.0261     1.16889   0.0102432
         577     1.02958     1.16864   0.0102283
         578     1.03308     1.16841   0.0102133
         579      1.0366     1.16818   0.0101982
         580     1.04014     1.16796    0.010183
         581     1.04369     1.16775   0.0101677
         582     1.04727     1.16754   0.0101523
         583     1.05085     1.16734   0.0101369
         584     1.05446     1.16715   0.0101214
         585     1.05808     1.16696   0.0101058
         586     1.06172     1.16678   0.0100902
         587     1.06539     1.16661   0.0100744
         588     1.06908     1.16644   0.0100587
         589     1.07279     1.16628   0.0100429
         590     1.07653     1.16613    0.010027
         591      1.0803     1.16599   0.0100111
         592     1.08409     1.16585  0.00999511
         593      1.0879     1.16572  0.00997912
         594     1.09173     1.16559   0.0099631
         595     1.09557     1.16547  0.00994705
         596     1.09941     1.16536  0.00993098
         597     1.10325     1.16526  0.00991489
         598     1.10708     1.16516  0.00989879
         599     1.11088     1.16507  0.00988268
         600     1.11463     1.16499  0.00986656
         601     1.11833     1.16491  0.00985045
         602     1.12196     1.16484  0.00983435
         603      1.1255     1.16477  0.00981825
         604     1.12893     1.16471  0.00980218
         605     1.13226     1.16466  0.00978612
         606     1.13545     1.16461  0.00977009
         607     1.13851     1.16457  0.00975409
         608      1.1414     1.16453  0.00973812
         609     1.14414      1.1645  0.00972219
         610      1.1467     1.16447   0.0097063
         611     1.14908     1.16444  0.00969044
         612     1.15127     1.16442  0.00967463
         613     1.15327      1.1644  0.00965887
         614     1.15509     1.16439  0.00964315
         615     1.15671     1.16437  0.00962748
         616     1.15814     1.16436  0.00961185
         617     1.15939     1.16436  0.00959628
         618     1.16047     1.16435  0.00958075
         619     1.16137     1.16435  0.00956527
         620     1.16211     1.16434  0.00954985
         621      1.1627     1.16434  0.00953447
         622     1.16314     1.16434  0.00951914
         623     1.16346     1.16434  0.00950386
         624     1.16367     1.16433  0.00948863
         625     1.16377     1.16433  0.00947345
         626     1.16378     1.16433  0.00945832
         627     1.16371     1.16433  0.00944323
         628     1.16357     1.16433  0.00942819
         629     1.16339     1.16433  0.00941321
         630     1.16315     1.16433  0.00939826
         631     1.16289     1.16433  0.00938337
         632      1.1626     1.16432  0.00936852
         633     1.16229     1.16432  0.00935372
         634     1.16197     1.16432  0.00933897
         635     1.16165     1.16431  0.00932426
         636     1.16132     1.16431   0.0093096
         637     1.16098      1.1643  0.00929499
         638     1.16065      1.1643  0.00928042
         639     1.16031     1.16429   0.0092659
         640     1.15997     1.16428  0.00925143
